name	tax_id
hg38	9606
balAcu1	310752
calMil1	7868
rn6	10116
sorAra2	42254
taeGut2	59729
takFla1	433684
tupChi1	246437
pteAle1	9402
punNye1	303518
vicPac2	30538
hg38Patch3	9606
felCat8	9685
amaVit1	241585
anaPla1	8839
apaSpi1	55534
araMac1	176014
astMex1	7994
camFer1	419612
capHir1	9925
cheMyd1	8469
chiLan1	34839
chlSab1	60711
chrAsi1	185453
colLiv1	8932
conCri1	143302
criGri1	10029
eleEdw1	28737
eptFus1	29078
eriEur2	9365
falChe1	345164
falPer1	8954
ficAlb2	59894
hapBur1	8153
jacJac1	51337
lepOcu1	7918
lepWed1	9713
macFas5	9541
mayZeb1	106582
mesAur1	10036
micOch1	79684
myoDav1	225400
neoBri1	32507
ochPri3	9978
octDeg1	10160
odoRosDiv1	9708
papAnu2	9555
cerSim1	73337
nomLeu3	61853
musFur1	9669
allMis1	8496
echTel2	9371
oviAri3	9940
bosTau7	9913
chrPic1	8478
galGal4	9031
rn5	10116
canFam3	9615
sarHar1	9305
speTri2	43179
melUnd1	13146
otoGar3	30611
rheMac3	9544
panTro4	9598
saiBol1	39432
triMan1	127582
oreNil2	8128
turTru2	9739
dasNov3	9361
felCat5	9685
susScr3	9823
hetGla2	10181
nomLeu2	61853
hg19Patch9	9606
geoFor1	48883
dm6	7227
mm10Patch1	10090
braFlo2	7739
felCat4	9685
bosTau5	9913
hg19Patch2	9606
danRer7	7955
panTro3	9598
oviAri1	9940
anoCar2	28377
hg19Patch5	9606
sacCer3	559292
bosTau6	9913
xenTro3	8364
melGal1	9103
myoLuc2	59463
gorGor3	9595
nomLeu1	61853
ce10	6239
macEug2	9315
mm10	10090
fr3	31033
hetGla1	10181
oreNil1	8128
gadMor1	8049
musDom2	7370
orcOrc1	9733
xenTro7	8364
xipMac1	8083
oryAfe1	1230840
hg19Patch10	9606
zonAlb1	44394
latCha1	7897
eboVir3	186538
panHod1	59538
pelSin1	13735
pseHum1	181119
apiMel4	7460
calJac3	9483
micMur1	30608
petMar1	7757
droWil1	7260
dp4	7237
felCat3	9685
bosTau3	9913
ce11	6239
aptMan1	202946
equCab2	9796
turTru1	9739
droEre2	7220
macEug1	9315
galGal2	9031
hg15	9606
fr1	31033
droBip2	42026
cb1	6238
sacCer1	4932
panTro1	9598
hg16	9606
rn3	10116
dm1	7227
cavPor3	10141
mm6	10090
ce2	6239
danRer2	7955
droEre1	7220
monDom1	13616
apiMel1	7460
dp3	7237
droVir1	7244
droMoj1	7230
xenTro1	8364
droAna1	7217
dm2	7227
droBia2	125945
hg17	9606
droYak1	7245
echTel1	9371
droGri1	7222
anoGam1	7165
danRer1	7955
ci1	7719
droPse3	46245
canFam1	9615
dp2	7237
tetNig1	99883
taeGut1	59729
apiMel2	7460
droMoj2	7230
droAna2	7217
bosTau2	9913
ci2	7719
bosTau1	9913
rheMac1	9544
tarSyr2	9478
caePb2	135651
droSim1	7240
strPur1	7668
canFam2	9615
droEug2	29029
oryCun1	9986
danRer3	7955
dasNov1	9361
loxAfr1	9785
triCas1	7070
ce6	6239
droVir2	7244
monDom2	13616
mm7	10090
